id,category,group,path,width,height,hasTransparency,quality,notes
assets/characters/heroes/assault,characters,characters/heroes,assets/characters/heroes/assault.png,93,116,True,source-resolution,Static full-body pose; the held weapon is part of the character artwork.
assets/characters/heroes/tank,characters,characters/heroes,assets/characters/heroes/tank.png,99,126,True,source-resolution,Static full-body pose; the held weapon is part of the character artwork.
assets/characters/heroes/scout,characters,characters/heroes,assets/characters/heroes/scout.png,90,111,True,source-resolution,Static full-body pose; the held weapon is part of the character artwork.
assets/characters/enemies/goblin,characters,characters/enemies,assets/characters/enemies/goblin.png,56,65,True,source-resolution,"One static pose, not an animation frame set."
assets/characters/enemies/sniper,characters,characters/enemies,assets/characters/enemies/sniper.png,60,71,True,source-resolution,"One static pose, not an animation frame set."
assets/characters/enemies/robot,characters,characters/enemies,assets/characters/enemies/robot.png,88,74,True,source-resolution,"One static pose, not an animation frame set."
assets/characters/enemies/flying_drone,characters,characters/enemies,assets/characters/enemies/flying_drone.png,58,53,True,source-resolution,"One static pose, not an animation frame set."
assets/characters/enemies/dark_colossus,characters,characters/enemies,assets/characters/enemies/dark_colossus.png,128,123,True,source-resolution,"One static pose, not an animation frame set."
assets/characters/companion/companion_idle_small,characters,characters/companion,assets/characters/companion/companion_idle_small.png,35,58,True,tiny-source,Very small pose from the companion-joins scene. Approximate edge extraction; use the portrait for close-ups.
assets/weapons/pistol,weapons,weapons,assets/weapons/pistol.png,55,39,True,source-resolution,Standalone weapon icon; no firing or projectile frames are present in the source.
assets/weapons/shotgun,weapons,weapons,assets/weapons/shotgun.png,76,37,True,source-resolution,Standalone weapon icon; no firing or projectile frames are present in the source.
assets/weapons/assault_rifle,weapons,weapons,assets/weapons/assault_rifle.png,82,42,True,source-resolution,Standalone weapon icon; no firing or projectile frames are present in the source.
assets/weapons/sniper_rifle,weapons,weapons,assets/weapons/sniper_rifle.png,82,38,True,source-resolution,Standalone weapon icon; no firing or projectile frames are present in the source.
assets/weapons/rocket_launcher,weapons,weapons,assets/weapons/rocket_launcher.png,80,47,True,source-resolution,Standalone weapon icon; no firing or projectile frames are present in the source.
assets/weapons/sword,weapons,weapons,assets/weapons/sword.png,53,50,True,source-resolution,Standalone weapon icon; no firing or projectile frames are present in the source.
assets/weapons/variants/shop_pistol,weapons,weapons/variants,assets/weapons/variants/shop_pistol.png,46,35,True,source-resolution,Small alternate weapon drawing from the shop interface.
assets/weapons/variants/shop_shotgun,weapons,weapons/variants,assets/weapons/variants/shop_shotgun.png,59,34,True,source-resolution,Small alternate weapon drawing from the shop interface.
assets/weapons/variants/shop_assault_rifle,weapons,weapons/variants,assets/weapons/variants/shop_assault_rifle.png,61,35,True,source-resolution,Small alternate weapon drawing from the shop interface.
assets/items/diamond,items,items,assets/items/diamond.png,46,45,True,source-resolution,Glow edges are partially transparent.
assets/items/health_pack,items,items,assets/items/health_pack.png,41,42,True,source-resolution,
assets/items/ammo_box,items,items,assets/items/ammo_box.png,41,40,True,source-resolution,
assets/items/power_up,items,items,assets/items/power_up.png,49,48,True,source-resolution,Glow edges are partially transparent.
assets/items/shield,items,items,assets/items/shield.png,49,50,True,source-resolution,Glow edges are partially transparent.
assets/items/key,items,items,assets/items/key.png,42,47,True,source-resolution,
assets/items/pistol_ammo,items,items,assets/items/pistol_ammo.png,35,34,True,source-resolution,
assets/items/shotgun_ammo,items,items,assets/items/shotgun_ammo.png,33,31,True,source-resolution,
assets/items/rifle_ammo,items,items,assets/items/rifle_ammo.png,33,32,True,source-resolution,
assets/portraits/assault_card_crop,portraits,portraits,assets/portraits/assault_card_crop.png,122,87,False,source-resolution,Bust crop retaining the original tinted background; not a full-body cutout.
assets/portraits/tank_card_crop,portraits,portraits,assets/portraits/tank_card_crop.png,121,87,False,source-resolution,Bust crop retaining the original tinted background; not a full-body cutout.
assets/portraits/scout_card_crop,portraits,portraits,assets/portraits/scout_card_crop.png,118,87,False,source-resolution,Bust crop retaining the original tinted background; not a full-body cutout.
assets/portraits/assault_inventory,portraits,portraits,assets/portraits/assault_inventory.png,65,61,True,source-resolution,Small framed portrait with original background.
assets/portraits/companion,portraits,portraits,assets/portraits/companion.png,65,64,True,source-resolution,Circular companion portrait; the original portrait background is retained inside the frame.
assets/ui/buttons/play_game_yellow,ui,ui/buttons,assets/ui/buttons/play_game_yellow.png,149,39,True,source-resolution,Text/icon is baked into the PNG. Recreate labels in HTML for editable text.
assets/ui/buttons/characters_dark,ui,ui/buttons,assets/ui/buttons/characters_dark.png,149,38,True,source-resolution,Text/icon is baked into the PNG. Recreate labels in HTML for editable text.
assets/ui/buttons/shop_dark,ui,ui/buttons,assets/ui/buttons/shop_dark.png,149,37,True,source-resolution,Text/icon is baked into the PNG. Recreate labels in HTML for editable text.
assets/ui/buttons/settings_dark,ui,ui/buttons,assets/ui/buttons/settings_dark.png,149,38,True,source-resolution,Text/icon is baked into the PNG. Recreate labels in HTML for editable text.
